Timestamp,Time Passed,PC Time,Server Time,Time Difference (s),Offset,Delay (s)
Thu May 30 08:46:13 2024,0,1717051573.6677313,1717051573.3845544,0.28317689895629883,-0.2718522548675537,0.022649288177490234
Thu May 30 08:46:44 2024,30,1717051604.0808225,1717051603.798388,0.28243446350097656,-0.27146148681640625,0.021945953369140625
Thu May 30 08:47:14 2024,60,1717051634.4986248,1717051634.2154698,0.2831549644470215,-0.2715435028076172,0.023222923278808594
Thu May 30 08:47:44 2024,91,1717051664.7724237,1717051664.4877076,0.2847161293029785,-0.27277612686157227,0.0238800048828125
Thu May 30 08:48:15 2024,121,1717051695.0593996,1717051694.771957,0.287442684173584,-0.2739865779876709,0.026912212371826172
Thu May 30 08:48:45 2024,151,1717051725.3233433,1717051725.0369859,0.28635740280151367,-0.27301812171936035,0.02667856216430664
Thu May 30 08:49:15 2024,181,1717051755.6030555,1717051755.3153973,0.2876582145690918,-0.2736968994140625,0.027922630310058594
Thu May 30 08:49:45 2024,212,1717051785.8652058,1717051785.5776596,0.28754615783691406,-0.27367472648620605,0.027742862701416016
Thu May 30 08:50:16 2024,242,1717051816.1361256,1717051815.8530588,0.2830667495727539,-0.2725942134857178,0.020945072174072266
Thu May 30 08:50:46 2024,272,1717051846.38799,1717051846.1058831,0.282106876373291,-0.27231311798095703,0.01958751678466797
Thu May 30 08:51:16 2024,303,1717051876.7752595,1717051876.4926858,0.2825736999511719,-0.2725832462310791,0.019980907440185547
Thu May 30 08:51:47 2024,333,1717051907.067051,1717051906.7849789,0.2820720672607422,-0.2706027030944824,0.02293872833251953
Thu May 30 08:52:17 2024,363,1717051937.3418107,1717051937.0627708,0.2790398597717285,-0.2690598964691162,0.01995992660522461
Thu May 30 08:52:47 2024,393,1717051967.610241,1717051967.3299065,0.28033447265625,-0.26955199241638184,0.021564960479736328
Thu May 30 08:53:17 2024,424,1717051997.881424,1717051997.6028633,0.2785606384277344,-0.26961779594421387,0.017885684967041016
Thu May 30 08:53:48 2024,454,1717052028.156186,1717052027.8763938,0.27979230880737305,-0.2698831558227539,0.01981830596923828
Thu May 30 08:54:18 2024,484,1717052058.4280767,1717052058.1484585,0.2796182632446289,-0.27115774154663086,0.016921043395996094
Thu May 30 08:54:48 2024,515,1717052088.6848764,1717052088.4041805,0.28069591522216797,-0.27176642417907715,0.01785898208618164
Thu May 30 08:55:18 2024,545,1717052118.9397783,1717052118.6602588,0.27951955795288086,-0.271496057510376,0.016047000885009766
Thu May 30 08:55:49 2024,575,1717052149.2194357,1717052148.9383607,0.28107500076293945,-0.27153730392456055,0.019075393676757812
Thu May 30 08:56:19 2024,605,1717052179.5571184,1717052179.2729664,0.2841520309448242,-0.2726562023162842,0.022991657257080078
Thu May 30 08:56:49 2024,636,1717052209.905376,1717052209.625792,0.2795839309692383,-0.27057790756225586,0.018012046813964844
Thu May 30 08:57:20 2024,666,1717052240.174521,1717052239.894082,0.2804388999938965,-0.2709667682647705,0.018944263458251953
Thu May 30 08:57:50 2024,696,1717052270.4659204,1717052270.1798887,0.28603172302246094,-0.27399396896362305,0.02407550811767578
Thu May 30 08:58:20 2024,727,1717052300.7246828,1717052300.4452543,0.27942848205566406,-0.27079129219055176,0.01727437973022461
Thu May 30 08:58:50 2024,757,1717052330.9937391,1717052330.7125244,0.28121471405029297,-0.2701382637023926,0.02215290069580078
Thu May 30 08:59:21 2024,787,1717052361.2653875,1717052360.9846282,0.280759334564209,-0.27146124839782715,0.018596172332763672
Thu May 30 08:59:51 2024,817,1717052391.5356712,1717052391.2554126,0.2802586555480957,-0.27161121368408203,0.017294883728027344
Thu May 30 09:00:21 2024,848,1717052421.8054304,1717052421.523316,0.28211450576782227,-0.27228569984436035,0.019657611846923828
Thu May 30 09:00:52 2024,878,1717052452.0719705,1717052451.791482,0.2804884910583496,-0.2710287570953369,0.01891946792602539
Thu May 30 09:01:22 2024,908,1717052482.3714533,1717052482.0914745,0.27997875213623047,-0.26997947692871094,0.019998550415039062
Thu May 30 09:01:52 2024,938,1717052512.6466122,1717052512.3653812,0.2812309265136719,-0.2710421085357666,0.020377635955810547
Thu May 30 09:02:22 2024,969,1717052542.9227343,1717052542.6437726,0.2789616584777832,-0.26709794998168945,0.0237274169921875
Thu May 30 09:02:53 2024,999,1717052573.210534,1717052572.9309692,0.27956485748291016,-0.25587964057922363,0.04737043380737305
Thu May 30 09:03:23 2024,1029,1717052603.5018892,1717052603.222467,0.2794222831726074,-0.24919557571411133,0.06045341491699219
Thu May 30 09:03:53 2024,1060,1717052633.8070726,1717052633.5281534,0.2789192199707031,-0.26997971534729004,0.017879009246826172
Thu May 30 09:04:24 2024,1090,1717052664.0869246,1717052663.8057785,0.2811460494995117,-0.27115845680236816,0.01997518539428711
Thu May 30 09:04:54 2024,1120,1717052694.3393574,1717052694.0591712,0.28018617630004883,-0.2704446315765381,0.019483089447021484
Thu May 30 09:05:24 2024,1150,1717052724.60916,1717052724.326922,0.2822380065917969,-0.27188563346862793,0.02070474624633789
Thu May 30 09:05:54 2024,1181,1717052754.8913612,1717052754.6116967,0.2796645164489746,-0.2706899642944336,0.01794910430908203
Thu May 30 09:06:25 2024,1211,1717052785.1874986,1717052784.9087863,0.27871227264404297,-0.27010011672973633,0.01722431182861328
Thu May 30 09:06:55 2024,1241,1717052815.45372,1717052815.1738558,0.2798643112182617,-0.27060794830322266,0.018512725830078125
Thu May 30 09:07:25 2024,1272,1717052845.7055807,1717052845.4288898,0.2766909599304199,-0.269320011138916,0.014741897583007812
Thu May 30 09:07:55 2024,1302,1717052875.9766526,1717052875.6958604,0.280792236328125,-0.27045226097106934,0.020679950714111328
Thu May 30 09:08:26 2024,1332,1717052906.2492466,1717052905.970406,0.2788405418395996,-0.26955413818359375,0.01857280731201172
Thu May 30 09:08:56 2024,1362,1717052936.5160732,1717052936.2375531,0.2785201072692871,-0.2684597969055176,0.020120620727539062
Thu May 30 09:09:26 2024,1393,1717052966.7802591,1717052966.5020814,0.27817773818969727,-0.2691965103149414,0.01796245574951172
Thu May 30 09:09:57 2024,1423,1717052997.0407085,1717052996.7646642,0.2760443687438965,-0.2698249816894531,0.012438774108886719
Thu May 30 09:10:27 2024,1453,1717053027.2914577,1717053027.0110588,0.2803988456726074,-0.27191638946533203,0.01696491241455078
Thu May 30 09:10:57 2024,1483,1717053057.5542903,1717053057.2775044,0.27678585052490234,-0.27004265785217285,0.013486385345458984
Thu May 30 09:11:27 2024,1514,1717053087.8067675,1717053087.5300784,0.2766890525817871,-0.270205020904541,0.012968063354492188
Thu May 30 09:11:58 2024,1544,1717053118.0716467,1717053117.7855177,0.2861289978027344,-0.2735564708709717,0.02514505386352539
Thu May 30 09:12:28 2024,1574,1717053148.331334,1717053148.0505905,0.2807435989379883,-0.27092552185058594,0.019636154174804688
Thu May 30 09:12:58 2024,1604,1717053178.601943,1717053178.3233876,0.27855539321899414,-0.2700486183166504,0.0170135498046875
Thu May 30 09:13:28 2024,1635,1717053208.8625112,1717053208.58294,0.2795710563659668,-0.27014780044555664,0.018846511840820312
Thu May 30 09:13:59 2024,1665,1717053239.144196,1717053238.862945,0.2812509536743164,-0.2688617706298828,0.024778366088867188
Thu May 30 09:14:29 2024,1695,1717053269.444747,1717053269.1627493,0.2819976806640625,-0.26884007453918457,0.02631521224975586
Thu May 30 09:14:59 2024,1726,1717053299.7372732,1717053299.4564772,0.2807960510253906,-0.26863718032836914,0.02431774139404297
Thu May 30 09:15:29 2024,1756,1717053330.0121222,1717053329.7303872,0.2817349433898926,-0.269087553024292,0.025294780731201172
Thu May 30 09:16:00 2024,1786,1717053360.3299503,1717053360.0490484,0.2809019088745117,-0.27027273178100586,0.02125835418701172
Thu May 30 09:16:30 2024,1816,1717053390.6021547,1717053390.3203344,0.28182029724121094,-0.27071666717529297,0.022207260131835938
Thu May 30 09:17:00 2024,1847,1717053420.8903255,1717053420.611642,0.2786836624145508,-0.26914191246032715,0.019083499908447266
Thu May 30 09:17:31 2024,1877,1717053451.1512437,1717053450.872448,0.2787957191467285,-0.26910877227783203,0.01937389373779297
Thu May 30 09:18:01 2024,1907,1717053481.4185076,1717053481.141819,0.2766885757446289,-0.26975107192993164,0.013875007629394531
Thu May 30 09:18:31 2024,1938,1717053511.6666832,1717053511.3905964,0.27608680725097656,-0.26958346366882324,0.01300668716430664
Thu May 30 09:19:01 2024,1968,1717053541.9258966,1717053541.6488533,0.27704334259033203,-0.26987195014953613,0.014342784881591797
Thu May 30 09:19:32 2024,1998,1717053572.182351,1717053571.9031177,0.279233455657959,-0.2711973190307617,0.01607227325439453
