Timestamp,Time Passed,PC Time,Server Time,Time Difference (s),Offset,Delay (s)
Thu May 30 08:46:13 2024,0,1717051573.70934,1717051573.4254289,0.28391122817993164,-0.2719275951385498,0.023967266082763672
Thu May 30 08:46:44 2024,30,1717051604.1108189,1717051603.8229675,0.28785133361816406,-0.27386903762817383,0.02796459197998047
Thu May 30 08:47:14 2024,60,1717051634.5249681,1717051634.2403097,0.28465843200683594,-0.2718806266784668,0.02555561065673828
Thu May 30 08:47:44 2024,91,1717051664.797224,1717051664.514287,0.28293704986572266,-0.2716028690338135,0.02266836166381836
Thu May 30 08:48:15 2024,121,1717051695.0839243,1717051694.8010378,0.2828865051269531,-0.27164483070373535,0.022483348846435547
Thu May 30 08:48:45 2024,151,1717051725.3483753,1717051725.065196,0.28317928314208984,-0.2717158794403076,0.022926807403564453
Thu May 30 08:49:15 2024,181,1717051755.6280584,1717051755.345521,0.28253746032714844,-0.27106332778930664,0.022948265075683594
Thu May 30 08:49:45 2024,212,1717051785.8922048,1717051785.607163,0.28504180908203125,-0.27305054664611816,0.023982524871826172
Thu May 30 08:50:16 2024,242,1717051816.1621075,1717051815.8785043,0.2836031913757324,-0.27179765701293945,0.023611068725585938
Thu May 30 08:50:46 2024,272,1717051846.4159508,1717051846.1308708,0.2850799560546875,-0.27209973335266113,0.025960445404052734
Thu May 30 08:51:16 2024,303,1717051876.8052597,1717051876.5174284,0.28783130645751953,-0.2738649845123291,0.02793264389038086
Thu May 30 08:51:47 2024,333,1717051907.0966287,1717051906.8132439,0.2833847999572754,-0.27011585235595703,0.02653789520263672
Thu May 30 08:52:17 2024,363,1717051937.3674235,1717051937.0839553,0.28346824645996094,-0.27145981788635254,0.024016857147216797
Thu May 30 08:52:47 2024,393,1717051967.6372423,1717051967.3515148,0.28572750091552734,-0.2727386951446533,0.025977611541748047
Thu May 30 08:53:17 2024,424,1717051997.9084206,1717051997.6231174,0.28530311584472656,-0.27283406257629395,0.024938106536865234
Thu May 30 08:53:48 2024,454,1717052028.1951752,1717052027.9120197,0.2831554412841797,-0.2716941833496094,0.022922515869140625
Thu May 30 08:54:18 2024,484,1717052058.4578276,1717052058.1705184,0.2873091697692871,-0.273449182510376,0.027719974517822266
Thu May 30 08:54:48 2024,515,1717052088.7099838,1717052088.4252691,0.2847146987915039,-0.2726907730102539,0.0240478515625
Thu May 30 08:55:18 2024,545,1717052118.984756,1717052118.6967053,0.28805065155029297,-0.273587703704834,0.02892589569091797
Thu May 30 08:55:49 2024,575,1717052149.2623873,1717052148.9798794,0.28250789642333984,-0.27101850509643555,0.022978782653808594
Thu May 30 08:56:19 2024,605,1717052179.6192508,1717052179.298973,0.32027769088745117,-0.29023075103759766,0.06009387969970703
Thu May 30 08:56:49 2024,636,1717052209.932448,1717052209.6488261,0.28362178802490234,-0.27112531661987305,0.024992942810058594
Thu May 30 08:57:20 2024,666,1717052240.2002592,1717052239.9163303,0.28392887115478516,-0.27209019660949707,0.023677349090576172
Thu May 30 08:57:50 2024,696,1717052270.4915767,1717052270.2080598,0.28351688385009766,-0.27170443534851074,0.023624897003173828
Thu May 30 08:58:20 2024,727,1717052300.7538357,1717052300.4689994,0.2848362922668457,-0.2713813781738281,0.026909828186035156
Thu May 30 08:58:50 2024,757,1717052331.025547,1717052330.7390203,0.2865266799926758,-0.27210068702697754,0.028851985931396484
Thu May 30 08:59:21 2024,787,1717052361.2928057,1717052361.0092077,0.2835979461669922,-0.27139759063720703,0.024400711059570312
Thu May 30 08:59:51 2024,817,1717052391.565384,1717052391.2803617,0.2850222587585449,-0.2716836929321289,0.02667713165283203
Thu May 30 09:00:21 2024,848,1717052421.8367925,1717052421.5494146,0.28737783432006836,-0.27321577072143555,0.028324127197265625
Thu May 30 09:00:52 2024,878,1717052452.0999718,1717052451.8162794,0.2836923599243164,-0.27068209648132324,0.026020526885986328
Thu May 30 09:01:22 2024,908,1717052482.3991394,1717052482.1165557,0.28258371353149414,-0.2702498435974121,0.024667739868164062
Thu May 30 09:01:52 2024,938,1717052512.6736097,1717052512.389813,0.2837967872619629,-0.2712702751159668,0.025053024291992188
Thu May 30 09:02:22 2024,969,1717052542.9491591,1717052542.6660428,0.28311634063720703,-0.2713935375213623,0.023445606231689453
Thu May 30 09:02:53 2024,999,1717052573.2332478,1717052572.951911,0.28133678436279297,-0.27050209045410156,0.021669387817382812
Thu May 30 09:03:23 2024,1029,1717052603.5334177,1717052603.2476554,0.28576231002807617,-0.2715277671813965,0.028469085693359375
Thu May 30 09:03:53 2024,1060,1717052633.831565,1717052633.549447,0.2821178436279297,-0.2709014415740967,0.022432804107666016
Thu May 30 09:04:24 2024,1090,1717052664.1129246,1717052663.8292642,0.2836604118347168,-0.27167344093322754,0.023973941802978516
Thu May 30 09:04:54 2024,1120,1717052694.3657088,1717052694.0826735,0.2830352783203125,-0.27088451385498047,0.024301528930664062
Thu May 30 09:05:24 2024,1150,1717052724.6394606,1717052724.3568764,0.28258419036865234,-0.2703969478607178,0.02437448501586914
Thu May 30 09:05:54 2024,1181,1717052754.9176536,1717052754.6360111,0.28164243698120117,-0.26998019218444824,0.02332448959350586
Thu May 30 09:06:25 2024,1211,1717052785.2160015,1717052784.9312344,0.28476715087890625,-0.27179694175720215,0.025940418243408203
Thu May 30 09:06:55 2024,1241,1717052815.4818654,1717052815.1988597,0.2830057144165039,-0.2704133987426758,0.02518463134765625
Thu May 30 09:07:25 2024,1272,1717052845.7310123,1717052845.4487844,0.2822279930114746,-0.27007627487182617,0.024303436279296875
Thu May 30 09:07:55 2024,1302,1717052876.0059114,1717052875.7212238,0.28468751907348633,-0.27158474922180176,0.02620553970336914
Thu May 30 09:08:26 2024,1332,1717052906.2830954,1717052905.9947834,0.2883119583129883,-0.272907018661499,0.030809879302978516
Thu May 30 09:08:56 2024,1362,1717052936.5444436,1717052936.261526,0.28291749954223633,-0.270707368850708,0.02442026138305664
Thu May 30 09:09:26 2024,1393,1717052966.8059092,1717052966.5235262,0.2823829650878906,-0.2705390453338623,0.02368783950805664
Thu May 30 09:09:57 2024,1423,1717052997.0663605,1717052996.7844262,0.2819342613220215,-0.2701256275177002,0.023617267608642578
Thu May 30 09:10:27 2024,1453,1717053027.3184814,1717053027.035421,0.28306055068969727,-0.270582914352417,0.024955272674560547
Thu May 30 09:10:57 2024,1483,1717053057.5796633,1717053057.296989,0.28267431259155273,-0.27051544189453125,0.02431774139404297
Thu May 30 09:11:27 2024,1514,1717053087.831684,1717053087.5496573,0.2820267677307129,-0.27008843421936035,0.023876667022705078
Thu May 30 09:11:58 2024,1544,1717053118.0983276,1717053117.8164778,0.28184986114501953,-0.26994991302490234,0.023799896240234375
Thu May 30 09:12:28 2024,1574,1717053148.3562632,1717053148.0751367,0.2811264991760254,-0.26969242095947266,0.02286815643310547
Thu May 30 09:12:58 2024,1604,1717053178.629027,1717053178.3473077,0.2817192077636719,-0.2696976661682129,0.02404308319091797
Thu May 30 09:13:28 2024,1635,1717053208.8880267,1717053208.6070147,0.28101205825805664,-0.26978349685668945,0.022457122802734375
Thu May 30 09:13:59 2024,1665,1717053239.1699343,1717053238.8891206,0.28081369400024414,-0.2689645290374756,0.02369832992553711
Thu May 30 09:14:29 2024,1695,1717053269.4734464,1717053269.1911979,0.28224849700927734,-0.26938867568969727,0.025719642639160156
Thu May 30 09:14:59 2024,1726,1717053299.7647982,1717053299.4838843,0.2809138298034668,-0.2689194679260254,0.023988723754882812
Thu May 30 09:15:30 2024,1756,1717053330.0381422,1717053329.7566152,0.281527042388916,-0.2695481777191162,0.02395772933959961
