Timestamp,Time Passed,PC Time,Server Time,Time Difference (s),Offset,Delay (s)
Thu May 30 08:46:13 2024,0,1717051573.96951,1717051573.5911703,0.3783397674560547,-0.29056429862976074,0.1755509376525879
Thu May 30 08:46:44 2024,30,1717051604.4669008,1717051604.0647144,0.40218639373779297,-0.3027815818786621,0.19880962371826172
Thu May 30 08:47:14 2024,60,1717051634.7345314,1717051634.3615146,0.3730168342590332,-0.2877354621887207,0.170562744140625
Thu May 30 08:47:44 2024,91,1717051665.010808,1717051664.6376038,0.37320423126220703,-0.2884094715118408,0.16958951950073242
Thu May 30 08:48:15 2024,121,1717051695.2848387,1717051694.9134293,0.37140941619873047,-0.28745269775390625,0.16791343688964844
Thu May 30 08:48:45 2024,151,1717051725.5677767,1717051725.1949668,0.37280988693237305,-0.28810834884643555,0.169403076171875
Thu May 30 08:49:15 2024,181,1717051755.8276396,1717051755.456738,0.37090158462524414,-0.2872352600097656,0.16733264923095703
Thu May 30 08:49:45 2024,212,1717051786.0962706,1717051785.723341,0.37292957305908203,-0.28789472579956055,0.17006969451904297
Thu May 30 08:50:16 2024,242,1717051816.362217,1717051815.9913874,0.37082958221435547,-0.28725647926330566,0.1671462059020996
Thu May 30 08:50:46 2024,272,1717051846.7459874,1717051846.3576522,0.3883352279663086,-0.2951326370239258,0.18640518188476562
Thu May 30 08:51:16 2024,303,1717051877.023512,1717051876.6507182,0.37279367446899414,-0.2880253791809082,0.16953659057617188
Thu May 30 08:51:47 2024,333,1717051907.3011808,1717051906.929793,0.37138795852661133,-0.2871227264404297,0.16853046417236328
Thu May 30 08:52:17 2024,363,1717051937.5647764,1717051937.193562,0.3712143898010254,-0.2870368957519531,0.16835498809814453
Thu May 30 08:52:47 2024,393,1717051967.8449373,1717051967.4739008,0.3710365295410156,-0.28668689727783203,0.1686992645263672
Thu May 30 08:53:17 2024,424,1717051998.1097155,1717051997.7354279,0.37428760528564453,-0.28864121437072754,0.17129278182983398
Thu May 30 08:53:48 2024,454,1717052028.393983,1717052028.0231872,0.37079572677612305,-0.28738903999328613,0.16681337356567383
Thu May 30 08:54:18 2024,484,1717052058.6564832,1717052058.2852902,0.37119293212890625,-0.287365198135376,0.16765546798706055
Thu May 30 08:54:48 2024,515,1717052088.9125524,1717052088.5411086,0.3714437484741211,-0.2874572277069092,0.16797304153442383
Thu May 30 08:55:19 2024,545,1717052119.1834192,1717052118.8126535,0.37076568603515625,-0.2868053913116455,0.16792058944702148
Thu May 30 08:55:49 2024,575,1717052149.4999876,1717052149.1289363,0.3710513114929199,-0.28662753105163574,0.16884756088256836
Thu May 30 08:56:19 2024,605,1717052179.881312,1717052179.481522,0.39978981018066406,-0.30132007598876953,0.19693946838378906
Thu May 30 08:56:49 2024,636,1717052210.1454325,1717052209.7738547,0.37157773971557617,-0.2868204116821289,0.16951465606689453
Thu May 30 08:57:20 2024,666,1717052240.4013271,1717052240.0300794,0.3712477684020996,-0.286848783493042,0.16879796981811523
