Timestamp,Time Passed,PC Time,Server Time,Time Difference (s),Offset,Delay (s)
Thu May 30 08:46:13 2024,0,1717051573.7373333,1717051573.4533563,0.28397703170776367,-0.27242350578308105,0.023107051849365234
Thu May 30 08:46:44 2024,30,1717051604.261097,1717051603.866023,0.39507389068603516,-0.3279399871826172,0.13426780700683594
Thu May 30 08:47:14 2024,60,1717051634.559969,1717051634.2678528,0.2921161651611328,-0.27664756774902344,0.03093719482421875
Thu May 30 08:47:44 2024,91,1717051664.8362179,1717051664.5528617,0.2833561897277832,-0.2723567485809326,0.021998882293701172
Thu May 30 08:48:15 2024,121,1717051695.1119885,1717051694.8259249,0.28606367111206055,-0.2745323181152344,0.023062705993652344
Thu May 30 08:48:45 2024,151,1717051725.392272,1717051725.107678,0.2845940589904785,-0.2735934257507324,0.022001266479492188
Thu May 30 08:49:15 2024,181,1717051755.6560535,1717051755.3722038,0.28384971618652344,-0.2728404998779297,0.0220184326171875
Thu May 30 08:49:45 2024,212,1717051785.9212055,1717051785.6378584,0.28334712982177734,-0.2718336582183838,0.02302694320678711
Thu May 30 08:50:16 2024,242,1717051816.1890707,1717051815.9059534,0.28311729431152344,-0.2721407413482666,0.021953105926513672
Thu May 30 08:50:46 2024,272,1717051846.5424838,1717051846.1579914,0.3844923973083496,-0.323228120803833,0.1225285530090332
Thu May 30 08:51:16 2024,303,1717051876.834795,1717051876.5485682,0.286226749420166,-0.2739598751068115,0.024533748626708984
Thu May 30 08:51:47 2024,333,1717051907.124588,1717051906.8421717,0.28241634368896484,-0.27243638038635254,0.01995992660522461
Thu May 30 08:52:17 2024,363,1717051937.3914156,1717051937.1101966,0.2812190055847168,-0.27122926712036133,0.019979476928710938
Thu May 30 08:52:47 2024,393,1717051967.6724057,1717051967.3894887,0.2829170227050781,-0.27134037017822266,0.023153305053710938
Thu May 30 08:53:17 2024,424,1717051997.933426,1717051997.6519437,0.2814822196960449,-0.27197837829589844,0.01900768280029297
Thu May 30 08:53:48 2024,454,1717052028.2221956,1717052027.9395237,0.2826719284057617,-0.2716703414916992,0.022003173828125
Thu May 30 08:54:18 2024,484,1717052058.4838233,1717052058.2009573,0.2828660011291504,-0.2728605270385742,0.020010948181152344
Thu May 30 08:54:48 2024,515,1717052088.7396727,1717052088.4559455,0.28372716903686523,-0.2723555564880371,0.02274322509765625
Thu May 30 08:55:18 2024,545,1717052119.0108728,1717052118.7281651,0.28270769119262695,-0.2716491222381592,0.022117137908935547
Thu May 30 08:55:49 2024,575,1717052149.299467,1717052149.0167408,0.2827262878417969,-0.2721867561340332,0.021079063415527344
